Sun Aug  2 23:55:26 2026    G:\Resonith\artifacts\r250-s15-short-baseline-prechange.staging\profile\rescored.prof

         124747086 function calls (124746528 primitive calls) in 95.782 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.000    0.000 rsc1.py:24(_validated_type)
        2    0.000    0.000    0.000    0.000 rsc1.py:52(validated)
       20    0.000    0.000    0.000    0.000 rsc1.py:32(<genexpr>)
        3    0.000    0.000    0.000    0.000 pvq_envelope_oracle.py:164(require_canonical_end)
        6    0.000    0.000    0.000    0.000 {built-in method zlib.crc32}
        2    0.000    0.000    0.000    0.000 pvq_envelope_oracle.py:111(finish)
        1    0.000    0.000    0.000    0.000 {method 'join' of 'bytes' objects}
       21    0.000    0.000    0.000    0.000 <string>:2(__init__)
        1    0.000    0.000    0.000    0.000 dataclasses.py:1762(replace)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        3    0.000    0.000    0.000    0.000 {method 'all' of 'numpy.ndarray' objects}
        6    0.000    0.000    0.000    0.000 {method 'pack' of '_struct.Struct' objects}
        4    0.000    0.000    0.000    0.000 {method 'digest' of '_hashlib.HASH' objects}
        2    0.000    0.000    0.000    0.000 pvq_envelope_oracle.py:75(__init__)
        6    0.000    0.000    0.000    0.000 {method 'unpack_from' of '_struct.Struct' objects}
        1    0.000    0.000    0.000    0.000 dataclasses.py:1471(_is_dataclass_instance)
       34    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        3    0.000    0.000    0.000    0.000 pvq_envelope_oracle.py:122(__init__)
        1    0.000    0.000    0.000    0.000 stream_sections.py:108(unpack_conf)
        3    0.000    0.000    0.000    0.000 rsc1.py:102(<genexpr>)
        3    0.000    0.000    0.000    0.000 _methods.py:64(_all)
        2    0.000    0.000    0.000    0.000 stream_sections.py:33(__post_init__)
        1    0.000    0.000    0.000    0.000 maf_source_filter_oracle.py:1598(_excitation_basis_rotations)
        1    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 fromnumeric.py:3049(max)
        1    0.000    0.000    0.000    0.000 numeric.py:1910(isscalar)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:3520(ndim)
        1    0.000    0.000    0.000    0.000 {method 'result_type' of 'numpy._core._multiarray_umath._array_converter' objects}
        2    0.000    0.000    0.000    0.000 rsc1.py:103(<lambda>)
        1    0.000    0.000    0.000    0.000 {built-in method math.log10}
        1    0.000    0.000    0.000    0.000 maf_source_filter_oracle.py:132(_pitch_bounds_q8)
        3    0.000    0.000    0.000    0.000 numeric.py:2451(_array_equal_dispatcher)
        2    0.000    0.000    0.000    0.000 rsc1.py:109(<genexpr>)
        1    0.000    0.000    0.000    0.000 stream_sections.py:96(pack_conf)
        1    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 fromnumeric.py:3044(_max_dispatcher)
        1    0.000    0.000    0.000    0.000 {method 'unpack' of '_struct.Struct' objects}
        1    0.000    0.000    0.000    0.000 maf_source_filter_oracle.py:1463(_learn_excitation_bases)
        1    0.000    0.000    0.000    0.000 {built-in method _operator.index}
        1    0.000    0.000    0.000    0.000 function_base.py:22(_linspace_dispatcher)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:3516(_ndim_dispatcher)


